Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
"Poverty, income inequality and irrigation development: longitudinal evidence from Palawan, the Philippines.","","Abstract: We measure the impacts of irrigation development on poverty and income inequality in a frontier region of the Philippines. Using household panel data we measure changes in standard poverty measures and income inequality over the period 1995-2002. We make comparisons within the beneficiary community and between the beneficiary community and an adjacent community that, while not affected directly from irrigation services, was indirectly affected through expanded labor market opportunities arising from irrigation. Results of the analyses, including poverty and inequality decompositions, suggest lowland irrigation development led to reduced income inequality and lower rates of poverty in the lowland community, reduced inequality and lower rates of poverty for the group of upland households who participated in off-farm work on irrigated lowland farms, and higher overall income inequality between the lowland and upland communities. ### Countries mentioned: Philippines ### Topics keywords: factor influencing;rural household;farm size ### Geo regions: East Asia and Pacific ### World bankdivision regions: Middle-income countries($996 to $3,895);IBRD",2015,,Asian Journal of Agriculture and Development,,,,,,,#37019,,"",Experimental; Observational
"Poverty reduction with irrigation investment: An empirical case study from Tigray, Ethiopia","","Abstract: The regional government of Tigray has invested millions of dollars to develop irrigation schemes as a strategy of poverty reduction. However, there has been limited attempt to analyze whether these investments have attained their stated objectives of poverty reduction and overall socio-economic enhancement. Therefore, we endeavor to: (1) evaluate the impacts of access to small-scale irrigation on farm household's income and poverty status, (2) contribute to the scant literature on irrigation and poverty reduction in Ethiopia, and (3) provide information for policy makers. We examine a representative sample of 613 farm households (331 irrigators and 282 non-irrigators) drawn using three-stage stratified sampling with Probability Proportional to Size. We find that the average income of non-irrigating households is less than that of the irrigating households by about 50%. The overall average income gain due to access to irrigation ranges from 4000 Birr to 4500 Birr per household per annum. We find also that farming income is more important to irrigating households than to non-irrigating households, and off-farm income is negatively related with access to irrigation. ### Countries mentioned: Ethiopia ### Topics keywords: small scale;small scale irrigation scheme;natural resource;developing country;water saving;rural household;willingness pay;household income;decision making;contract farming;irrigation scheme;policy maker;poverty reduction ### Geo regions: Sub-Saharan Africa ### World bankdivision regions: Low-income countries(995$ or less);IDA",2009,,Agricultural Water Management,,,,,https://doi.org/10.1016/j.agwat.2009.08.004,,#36711,,Ellen McCullough (2019-06-20 01:16:17)(Screen): This appears to be an observational design rather than experimental.; ,Experimental; Observational
"Mechanizing the manual <i xmlns=""http://www.w3.org/1999/xhtml"">zaï</i> technique in semiarid areas.","","Abstract: Manual practice is a traditional system used in the Sahel for the rehabilitation of degraded and crusted soils. It consists in manually digging pits that collect runoff water and receive a handful of organic resources. In view of the fact that manual is labour-intensive (300 heures.man/ha), the technique of mechanised using cattle traction has been studied on structurally degraded Lixisols in Burkina Faso (Saria, Pougyango). Labour time was reduced to 36 heures/ha at Saria and to 22 heures/ha at Pougyango. Animal traction force was 11.6 daN for 7.8 cm of tillage depth at Saria and 10.1 daN for 11.6 cm of tillage depth at Pougyango. Both mechanised and manual pits had the same sizes. Mechanised increased soil roughness by 14% while sorghum grain yield increase was 34% compared to that obtained with manual which is approximately 1 ton in a normal year in the northern part of the country. The mechanization of the generated a significant income that could reach 165 000 F CFA/ha with sorghum cropping. It may therefore constitute an interesting alternative for increasing the income of the smallholders besides contributing to the preservation of the environment. ### Countries mentioned: Burkina Faso ### Plant products search: sorghum grain;grain ### Measurements for crops: grain ### Measurements for interventions: tillage depth;traction force;tillage ### Topics keywords: CA;grain yield;farm size ### Geo regions: Sub-Saharan Africa ### World bankdivision regions: Low-income countries(995$ or less);IDA",2005,,Cahiers Agricultures,,,,,,,#36363,,"",""
Modeling sustainable adaptation strategies toward a climate-smart agriculture in a Mediterranean watershed under projected climate change scenarios.,"","Abstract: Climate change projections for the Mediterranean region are predicting a significant rainfall decrease and an increase of temperatures. The consequences of these changes on food security and natural resources in this region might be very dramatic. Anticipating climate change impacts by improving agricultural systems efficiency is a critical need. Therefore, this study was conducted to assess the vulnerability of water resources and performance of two major rainfed crops (Winter wheat & Sunflower) to climate change impact in R'dom watershed. The study aimed also, to evaluate some adaptation strategies to improve crops water productivities while preserving hydrologic resources. The study site is a typical Mediterranean agro-silvo-pastoral watershed in North-western Morocco, where water resources are facing an increasing demand. Both hydrologic and plants growth modules of Soil and Water Assessment Tool Model (SWAT) have been calibrated and validated over the period 2004 to 2009. SWAT model and downscaled Global Circulation Model CNRM CM5 were used to simulate water yield and crops water productivities in 2031-2050 period under two Representative Concentration Pathways (RCP 4.5 and RCP 8.5). The RCM data revealed that the study area will experience important precipitation drop and mean temperature increase in the period 2031 to 2050. About 26.4% (2.89) decrease of basin water yield and up to 44.7% (9.03) drop down of crops water productivities were consequently predicted. After simulation of 5 combinations of no tillage and two early sowing dates' strategies, TOPSIS technique was used to prioritize strategies according to different management policies. Both no tillage and the 10 days early sowing strategies have stood out as two best adaptation strategies among the management policies evaluated as compared to business as usual. ### Countries mentioned: Morocco ### Plant products search: winter wheat;stone fruits;wheat ### Programs found: rangeland convertion program (RCP);watershed project ### Topics keywords: CSA;land use change;cover crop;climate change;natural resource;adaptation strategy;winter wheat;SWAT;BMP;contract farming;smallholder farmer;climate change scenario;assessment tool;CC;food security ### Geo regions: Middle East and North Africa ### World bankdivision regions: Middle-income countries($996 to $3,895);IBRD",2018,,Agricultural Systems,,,,,https://doi.org/10.1016/j.agsy.2018.01.024,,#37371,,"",Experimental
Pedological aspects of land evaluation for in-field rainwater harvesting in south Africa,"","Abstract: The in-field rainwater harvesting (IRWH) technique was designed for improving crop yields of subsistence farmers in semi-arid areas in South Africa. An appropriate soil survey to identify suitable land was developed by means of a field study near Thaba Nchu, South Africa. Results of the land Type Survey of South Africa (scale 1 : 250 000) were used to advantage. Areas suitable for IRWH on two soilscapes were delineated at a scale of 1 : 10 000. Although the procedure was satisfactory, to provide accuracy appropriate for small plots a scale of 1 : 5000 is recommended. The most important pedological characteristic of an IRWH-suitable soil is its capacity to store plant-available water, termed total extractable soil water (TESW). Satisfactory TESW values for maize and sunflower are>150mm, values which occur on fine-textured soils at least 900mm in depth. Other important characteristics are the absence of hydromorphy shallower than 700mm, and a low final infiltration rate that promotes runoff into the basins. The reliability of land evaluation for IRWH can be enhanced by using appropriate crop models together with long-term climate data to compute cumulative probability functions of yield to provide evidence regarding viability for a particular ecotope. It is concluded that the relevant technology and knowledge available in South Africa are adequate for the task ahead. ### Countries mentioned: South Africa;Lesotho ### Plant products search: maize ### Measurements for crops: maize ### Topics keywords: SA;food insecurity;drought stress;long term ### Geo regions: Sub-Saharan Africa ### World bankdivision regions: Upper-middle-income countries ($3,896 to $12,055);Middle-income countries($996 to $3,895);IDA;IBRD",2012,,Irrigation and Drainage,,,,,https://doi.org/10.1002/ird.1688,,#37009,,"",Observational
Pest management in small farms.,"","Abstract: The occurrence of pre-harvest pests on food crops and the potential management of these pests are influenced by a complex of factors, especially by currently prevailing agricultural practices. This is illustrated by a case-study of the relatively recent outbreaks of Nilaparvata lugens (Stal), and associated pests and diseases, in rice in Indonesia. The study shows that increased problems associated with this pest, and occasionally also Nephotettix spp. and Sogatella furcifera (Horv.), are associated with increases in average rice yields (resulting from improved husbandry, the growing of high-yielding susceptible cultivars, the use of nitrogen fertilizers, and improved irrigation and water management) in lowland areas where temperatures are suitable for population growth of Nilaparvata lugens. ### Countries mentioned: Indonesia ### Plant products search: rice ### Topics keywords: nitrogen fertilizer;food safety;insect pest ### Geo regions: East Asia and Pacific ### World bankdivision regions: Middle-income countries($996 to $3,895);IBRD",1982,,Protection Ecology,,,,,,,#37445,,"",Experimental; Observational
"Performance of cassava (<i xmlns=""http://www.w3.org/1999/xhtml"">Manihot esculanta</i>. Cratz) clones in potential and low moisture stressed areas of Ethiopia.","","Abstract: Cassava (. Cratz) is one of the most important food crops that constitute a considerable portion of the daily diet of the people and also serves as one of the major source of carbohydrate. Despite its importance, production of cassava in Ethiopia has different constraints and opportunities. Among which, shortage of improved varieties is the first and the most important one. It is mainly cultivated by small resource poor farmers on smallholding plots of land. Average storage root yield obtained per a given plot of cassava is as low as 100 tons per hectare despite the potential yield of 600 tons per hectare per year. This low yield might be due to the cultivation of local, low yielding, late maturing cultivars. To contribute to alleviating the problem and provide farmers other alternative varieties, Hawassa Agricultural Research Center, in collaboration with Jimma and Sekota Agricultural Research Centers, conducted evaluation of cassava clones in potential and moisture stressed agroclimatic conditions of the country. Jima and Hawassa sites represent potential agroclimatic condition, while Amaro and Sekota represent moisture stressed areas. A total of seven cassava clones namely AWC-1 (MM 96/5280), AWC-2 (MM 90/5280), AWC-3 (MM 96/7151), AWC-4 (MM96/1871), AWC-5 (MM96/3868) and Kello (standard check) were evaluated by using randomized complete block design replicated three times. The evaluation was carried out for two consecutive years, from 2012 to 2014. The combined analysis result indicated that there was statistically significant difference among the clones tested and the locations where the experiment was conducted. The clone AWC-1 (37.17 t/ha) followed by AWC-2(35.52 t/ha) and AWC-5 (35.51 t/ha) gave the highest storage root yield but there was no statistically significant difference in the total storage yield among the clones AWC-2, AWC-3 and AWC- 5. In the same way, the highest dry matter content was recorded from the clones AWC-2 (51.8%), AWC-3 (48.5%) and Kello (49.1%). Among the locations tested, the best result was obtained from Amaro (35.14 t/ha) which is characterized by its low moisture stress, indicating that cassava can resist/tolerate low moisture stress and give comparative yield provided that other factors are not limited. Thus, those clones with the highest storage root yield and dry matter content were promoted for variety verification and will be released for wider production. ### Countries mentioned: Ethiopia ### Plant products search: cassava ### Measurements for crops: cassava ### Topics keywords: experiment conducted;plant height;DM;growing season;significant difference;drip irrigation;randomized complete block design;dry matter;flow rate;grain yield ### Geo regions: Sub-Saharan Africa ### World bankdivision regions: Low-income countries(995$ or less);IDA",2017,,African Journal of Agricultural Research,,,,,https://doi.org/10.5897/AJAR2016.11365,,#37318,,"",Experimental
Plant Selection and Performance of Two Cattle Types and Camels on Semiarid Rangelands in Kenya,"","Abstract: Plant selection pattern and performance of lactating cattle and camels were compared on semiarid savanna rangelands in Kenya in the rainy season (RS) and a transition period (TP) between the RS and the main dry season. It was further evaluated whether supplementation with rumen-degradable protein (RDP) had an effect on these parameters. In both seasons, two cattle types (local 'Pokot' cattle and Guernsey x Boran crossbreds) and camels were used, with six females per treatment group (supplemented and nonsupplemented) each (n = 72 animals in total). The experimental periods consisted of 8-10 d of adaptation and 36-40 d of data and sample collection. The diet selected by the cattle types was similar and consisted almost exclusively of grasses. The camel diet consisted mainly of herbs and shrubs with higher contributions of woody plants in the TP than in the RS. Forage from woody plants overall made up a higher proportion of the diet, which was also reflected by a longer browsing time (overall and in the TP) of the supplemented camels compared with the nonsupplemented camels. This result indicates that supplementation of browsers like camels with RDP can be used to increase the intake of forage from woody plants rich in plant secondary compounds, which could be an effective measure for managing rangeland to limit bush encroachment. Overall, no seasonal differences in milk yield were found for the camels and Pokot cattle, but crossbreds had a lower yield in the TP compared with the RS. Overall, the cattle had higher milk fat content than the camels while the camels had slightly higher protein content. Supplementation had no effect on milk yield and composition. The results of diet selection and performance (milk yield) reflect the advantage of camels in arid rangelands. ### Countries mentioned: Guernsey;Kenya ### Animal products search: milk ### Programs found: recombination detection program (RDP);rural development (RD) program;ribosomal database project (RDP);rural development (RD) project ### Topics keywords: nitrogen fertilizer;remote sensing;chemical composition;RS;sweet potato;protein content;tillage practice;bulk density;rice straw;agroforestry system;dry season;RDP;NT;small scale;total phosphorus;total porosity;TP;rural development;dairy cattle;family farming;food insecurity;spatial distribution;crop residue;GIS;human activity ### Geo regions: Sub-Saharan Africa ### World bankdivision regions: BLEND;Middle-income countries($996 to $3,895)",2018,,RANGELAND ECOLOGY & MANAGEMENT,,,,,https://doi.org/10.1016/j.rama.2018.04.007,,#36762,,"",Experimental
Preliminary identification on drought resistance of alfalfa varieties and new line MS-LM01.,"","Abstract: In order to elucidate drought resistance of alfalfa new lineMS-LM01, pot culture and water control were used to imitate drought stress. Three water treatments were set up to study the morphological and physiological characteristic responses of different alfalfa varieties. This study indicated that the increase of soil drought conditions resulted in the decreases of plant height, root width, biomass, leaf relative water content, chlorophyll content and net photosynthetic rate, whereas proline content was increased. In comparison, plant height, biomass, root width, relative water content, net photosynthetic rate and proline content of MS-LM01 in light stress (LS) and severe stress (SS) were less sensitive to drought stress Comprehensive subordinate function value analysis suggested that drought resistant order was Longdong &gt; MS-LM01 &gt; Gannong No. 3 &gt; Golden Empress &gt; Zhongmu No. 1. The results showed that the new line MS-LM01 had strong drought resistance and better agronomic performance, which was of great significance to the selection of alfalfa varieties and the breeding of drought-resistant alfalfa varieties in arid area. ### Plant products search: alfalfa ### Topics keywords: livelihood strategy;CAP;plant height;drought stress;rural household;dairy industry;EU;market share;SS;rural development;member state;sewage sludge",2017,,Journal of Southwest University for Nationalities - Natural Science Edition,,,,,,,#36434,,"",Experimental
Novel sprayable biodegradable polymer membrane to minimise soil evaporation,"","Abstract: Sprayable film systems for soil to prevent moisture loss have received increased attention as next generation alternatives to the use of preformed films. In this paper we report on the properties of a novel water dispersible, sprayable biodegradable polymer membrane and results of preliminary pot and field trials using this membrane to minimise soil evaporation. The polymer emulsion contains 40 wt% solid content with particle sizes in the 100-500 micron range and its viscosity is 400±70 mPa.s; it is stable at ambient temperature and can be sprayed using standard farm equipment. The small scale pot trial indicated a 10-50% reduction in soil evaporation across a number of different soils. The field trial, on a Hanwood loam soil showed that the polymer membrane treatment maintained approximately the same crop yield compared to the control, but used 28% less irrigation water. Water use productivity was 0.34 to 0.46 kg/100 L higher in the polymer treatment than in the control treatments, representing a 20-30% increase in water productivity. Refinement of the polymer membrane together with further field testing is ongoing. ### Measurements for interventions: water productivity ### Topics keywords: small scale;particle size;bulk density;moisture content",2015,,"Proceedings - International Conference on Technologies for Sustainable Development, ICTSD 2015",,,,,https://doi.org/10.1109/ICTSD.2015.7095875,,#37218,,Balsher Sidhu (2019-06-18 11:34:38)(Screen): doesn't mention smallholders or any specific LMIC; ,Experimental
Okra performance and soil and water conservation as influenced by poultry manure and organic mulch amendments.,"","Abstract: There is growing interest in intensive dry season vegetable crop cultivation by peasant farmers in south eastern Nigeria, but little research information to guide them on appropriate soil and water management for restoring, replenishing, conserving and maintaining soil fertility for optimum profit on their fragile soils. A two-year field experiment was conducted during the dry seasons of 2009/2010 and 2010/2011 on the acidic coastal plain soils at Calabar, to evaluate various rates of poultry manure (PM) (0, 5, 10 and 15 t/ha) and organic mulch (0, 2, 4 and 6 t/ha) for optimum yield of okra (Abelmoschus esculentus L. Moench) and their combined effect on weed growth and soil chemical and physical properties. The PM and mulch application reduced soil bulk density, increased soil moisture retention capacity and lowered weed infestation. They also raised the soil pH, organic matter content, total N, available P and exchangeable K, Ca and Mg status of the soil. The growth and fresh pod yield of okra peaked at 10 t/ha PM and 4 t/ha mulch rates. These rates increased fresh pod weight by 94 and 57% and mean fresh pod yield by 160 and 115%, respectively, compared with the unamended control plots. Poultry manure at 10 t/ha plus 4 t/ha organic mulch had the best effects on soil bulk density reduction and fresh pod yield of okra. ### Countries mentioned: Nigeria ### Plant products search: okras;out of season vegetables ### Animal products search: poultry meat ### Measurements for interventions: control plot;pod;manure ### Topics keywords: nitrogen fertilizer;experiment conducted;cropping system;soil fertility;SM;dry matter;sweet potato;NPK;bulk density;TN;net return;winter wheat;drip irrigation;NH4;moisture content;weed infestation;field experiment;dry season;agroforestry system;NO3;flow rate;poultry manure;small scale;DM;significant difference;physical property;TP;dairy cattle;field experiment conducted;organic matter;organic fertilizer;food insecurity;plant height;spatial distribution;organic matter content;OM;growing season;soil moisture;weed control;FYM;crop residue;human activity;DAS;grain yield ### Geo regions: Sub-Saharan Africa ### World bankdivision regions: BLEND;Middle-income countries($996 to $3,895)",2012,,"Journal of Food, Agriculture & Environment",,,,,,,#36881,,"",Experimental
On-farm evaluation of fertilizer briquettes and low-cost drip irrigation for smallholder vegetable production in Cambodia.,"","Abstract: The performance of low cost drip irrigation (LCDI) compared to hand watering (HW), as well as NPK fertilizer briquette deep placement (FBDP) compared to conventional compound fertilizer (CCF), for vegetable production was evaluated. Yield and water use efficiency (WUE) increased significantly with LCDI compared to HW on cucumber (13 and 41%), sponge gourd (85 and 129%), eggplant (38 and 113%), bitter gourd (121 and 35%) and long bean (5 and 27%) respectively. Yield and WUE of cucumber (22 and 25%) and long bean (9% and 12%) increased with FBDP compared to CCF. Net income due to FBDP was greater by 24 and 14% for cucumber and long bean, respectively, compared to CCF. The number of man-days employed for irrigation increased six times in HW compared to LCDI. Net return with LCDI was greater by 52% compared to HW and varied from 4 to 121% between the crops. Combined over two trials, yield and WUE increased by 37% (5.589 vs 4.065 Mg ha-1) and 123% (4.28 vs 1.916 Mg ML-1) respectively, with less applied water in LCDI compared to HW (1.687 vs 2.78 ML ha-1). LCDI and FBDP can significantly improve yield, WUE and profitability of the small-scale vegetable growers in Cambodia. ### Countries mentioned: Cambodia ### Plant products search: eggplants;grain legumes;cucumbers ### Measurements for interventions: ML ### Topics keywords: small scale;net income;NP;net return;WUE;weed control;drip irrigation;hand weeding;use efficiency;economic benefit;DAS;NPK;NPK fertilizer ### Geo regions: East Asia and Pacific ### World bankdivision regions: Middle-income countries($996 to $3,895);IDA",2011,,Irrigation and Drainage,,,,,https://doi.org/10.1002/ird.571,,#37015,,"",Experimental
Opportunities and limitations for agricultural production from irrigation schemes and in kitchen gardens in the Senegal River Valley from a marketing perspective.,"","Abstract: The aim of this study was to analyse the extent to which an approach with a marketing perspective can contribute to the development both of viable design for small-scale irrigated agriculture and of the adaptation of existing irrigation schemes. The work is based on 2 studies, one on rice irrigation schemes and one on kitchen gardens. Project viability was found to depend on the farmers' capacity to sell part of their produce. The paper considers the advantages and disadvantages of commercial production over subsistence farming, and describes 3 case-studies: a village irrigation scheme on the Ile à Morphil, rice irrigation and vegetables grown in womens' gardens. ### Countries mentioned: Senegal;France ### Plant products search: rice;vegetables ### Programs found: garden project ### Topics keywords: small scale;irrigated agriculture;water saving;irrigation scheme;long term ### Geo regions: Europe and Central Asia;Sub-Saharan Africa ### World bankdivision regions: Low-income countries(995$ or less);IDA;High-income countries($12,056 or more)",1990,,"Design for sustainable farmer-managed irrigation schemes in sub-Saharan Africa, Volume 2..",,,,,,,#37010,,"",Observational
Opportunities and needs in development of smallholder goat production systems in Africa.,"","Abstract: A detailed diagnosis of the dynamics of smallholder goat farming systems will guide in any of livelihood intervention programs which takes into account the important socioeconomic issues towards improving the standard of living of the rural poor in Africa. Goats provide smallholder resource poor farmers with a vast range of products and services such as immediate cash income, meat, milk, skin, manure, risk spreading/management and social functions. This is on the background that goats require smaller investments, have shorter production cycles and greater environmental adaptability, and hence have a unique niche in smallholder agriculture which make them a sustainable enterprise in the context of climate change and variability. This is a review paper that explores the feasibility of goat production as an viable option to improve the quality of life of rural populations in Africa. The discussion highlights the opportunities and challenges in maximizing goat production on the continent focusing on the reducing the current animal product demand supply gap in rural areas. Empirical evidence show that goat population do play a greater role in smallholder farming sector and the species is increasing in numbers than other livestock. The major concern for using goats is their ecological and physiological adaptive traits which will be more important in the context of climate change variability and other common environmental shocks. The factors which contribute to efficiency in goat production as influenced by water stress, feed inadequacy and disease resistance should be studied further in-order for goats to continually survive the extremities of climate change. Study conclude that goats constitute an important reservoir of genetic material and sustainable form of animal production that has significant potential for alleviating malnutrition and food insecurity in Africa. ### Animal products search: meat;milk ### Programs found: intervention program;livelihood intervention program;interventional program ### Topics keywords: food insecurity;cover crop;climate change;CC;take account;soil fertility;point view;taking account;smallholder farming;taken account;smallholder farmer;farming system;rural area",2014,,Scientific Journal of Animal Science,,,,,,,#37442,,"",Observational
Perceptions of the effects of floods and droughts on livelihoods: lessons from arid Kenya,"","Abstract: Purpose-The purpose of this paper is to understand how people practicing natural resource-based livelihoods in arid Kenya perceive that their livelihoods are being affected by floods and droughts and how to integrate these local perceptions of impacts into larger-scale climate change adaptation initiatives and policy. Design/methodology/approach-In Isiolo County, Kenya, 270 households were surveyed in seven communities, six focus group discussions were held and a document review was conducted. Findings-The major livelihood practiced in Isiolo is pastoralism (71 per cent), but agriculture and non-agro-pastoral activities also play an important role, with 53 per cent of the respondents practicing more than one type of livelihood. In Isiolo, floods have a large impact on agriculture (193 respondents out of 270), while droughts impact both agriculture (104 respondents) and livestock (120 respondents), and more specifically, cattle-keeping (70 respondents). Research limitations/implications-The research may have implications for the importance of using local perceptions of the effects of climate change on livelihoods for larger-scale interventions. It also provides a case study of local perceptions of the effects of floods and droughts on livelihoods in an arid area with natural resource-dependent livelihoods. Practical implications-To understand local perceptions and use local perceptions for larger-scale adaptation interventions and policy. Originality/value-This paper provides a specific example of a climate change adaptation initiative integrating local perceptions of the impacts of floods and droughts into livelihood-focused interventions. ### Countries mentioned: Kenya ### Programs found: climate change adaptation (CCA) initiative;adaptation initiative ### Topics keywords: cover crop;climate change;natural resource;play important role;crop insurance;supply chain;human health;rural community;cent respondent;originality value;large scale;dairy farming;climate change adaptation;design methodology approach;CC ### Geo regions: Sub-Saharan Africa ### World bankdivision regions: BLEND;Middle-income countries($996 to $3,895)",2017,,INTERNATIONAL JOURNAL OF CLIMATE CHANGE STRATEGIES AND MANAGEMENT,,,,,https://doi.org/10.1108/IJCCSM-11-2014-0132,,#36298,,"",Observational
Photovoltaic water pumping systems for horticultural crops irrigation: Advancements and opportunities towards a green energy strategy for Mozambique,"","Abstract: In developing countries, as in Mozambique's case, with about 28.8 million inhabitants, 70% does not have access to the conventional electricity network and 80% depends on agriculture for their subsistence, however, only 5% of the cultivated area is irrigated, and only 1% of the energy from the grid is destined for agriculture. The low index of the population with access to electricity leads to the development of affordable and clean energy for agricultural and domestic uses in accordance with the second and seventh objective of the sustainable development goals. Photovoltaic water pumping systems (PVWPS) have been widely used to increase access to energy for irrigation in many countries and several tools’ design are being developed to improve their performance and deployment. However, during the PVWPS design, many of existing tools somehow fail by considering the water demand as a constant throughout crops productive cycle. In this paper, a qualitative analysis of horticultural crops water demand on PVWPS design for irrigation is made. The advancements and opportunities of Mozambique in the adoption of PVWPS for irrigation are also made, exploring the best perspective of transition for Mozambique green energy strategy needs. From the qualitative analysis, the results show that the water demand of horticultural crops is dynamic throughout the productive cycle, which allows a surplus of electrical energy after the irrigation that can be saved and possibly redirected to cover other electrical energy needs. Mozambique has favorable conditions in that regards to the available weather conditions and renewable policy framework in general, in addition to other existent favorable conditions. The Mozambican government may adopt PVWPS for horticultural crops irrigation as a strategy to increase access to energy for irrigation, and as an alternative energy source in order to minimize the high rates of lack of access to energy. ### Countries mentioned: Mozambique ### Topics keywords: developing country;sustainable development;growing season;weather condition;SDG;sustainable development goal ### Geo regions: Sub-Saharan Africa ### World bankdivision regions: Low-income countries(995$ or less);IDA",2019,,Sustainable Energy Technologies and Assessments,,,,,https://doi.org/10.1016/j.seta.2019.03.004,,#36214,,"",Observational
"Planning dryland cultivation: a study of small farms in Bankura, West Bengal ( India).","","Abstract: A production function analysis of six types of non-irrigated farms in 1981-2. Farmers wanted irrigation, not new and better dryland techniques. Oilseeds, vegetables, and pulses were much more remunerative than paddy, but farmers persist in paddy cultivation because it is a staple and also provides fodder. Only if cheap supplies of rice and fodder can be guaranteed will the more profitable dryland crops be expanded. -M.J.Shepperdson (CDS) ### Countries mentioned: India ### Plant products search: oilseeds;rice;grain legumes;vegetables ### Topics keywords: paddy field;net return;chemical fertilizer ### Geo regions: South Asia ### World bankdivision regions: Middle-income countries($996 to $3,895);IBRD",1985,,Journal of Rural Development (Hyderabad),,,,,,,#36644,,"",Observational
Productivity limits and potentials of the principles of conservation agriculture,"","Abstract: One of the primary challenges of our time is to feed a growing and more demandingworld population with reduced external inputs and minimal environmental impacts, allundermore variable and extreme climate conditions in the future1-4. Conservation agriculture represents a set of three crop management principles that has received strong international support to help address this challenge5,6, with recent conservation agriculture efforts focusing on smallholder farming systems in sub-Saharan Africa and South Asia7.However, conservationagriculture is highly debated, with respect to both its effects on crop yields8-10 andits applicability in different farming contexts7,11-13. Here we conduct a globalmeta-analysis using 5,463 paired yield observations from610 studies to compare no-till, the original and central concept of conservation agriculture, with conventional tillage practices across 48 crops and 63 countries. Overall, our results show that no-till reduces yields, yet this response is variable and under certain conditions no-till can produce equivalent or greater yields than conventional tillage. Importantly,whenno-till is combined with the other two conservation agriculture principles of residue retention and crop rotation, its negative impacts are minimized. Moreover, no-till in combination with the other two principles significantly increases rainfed cropproductivity indry climates, suggesting that itmaybecome animportant climate-change adaptation strategy for ever-drier regions of the world. However, any expansion of conservation agriculture should be done with caution in these areas, as implementation of the other two principles is often challenging in resource-poor and vulnerable smallholder farming systems, thereby increasing the likelihood of yield losses rather than gains. Although farming systems are multifunctional, and environmental and socio-economic factors need to be considered14-16, our analysis indicates that the potential contribution of no-till to the sustainable intensification of agriculture is more limited than often assumed. ### Topics keywords: adaptation strategy;CA;soil fertility;rural community;factor affecting;CC;tillage practice;SSA;environmental impact;conventional tillage;smallholder farming;farming system;NT;crop rotation;residue retention;climate change adaptation;food security;cover crop;climate change;sustainable intensification;smallholder farmer;CT;negative impact ### Geo regions: Sub-Saharan Africa",2015,,Nature,,,,,https://doi.org/10.1038/nature13809,,#36614,,"",Experimental; Meta-Analysis; Observational
Rain water harvesting and ground water recharging in North Western Himalayan region for sustainable agricultural productivity.,"","Abstract: This paper reveals the study of low cost traditional water harvesting structures that helps in improving the socio-economic status of the poor farmers of the hill region. In the foothill region of North Western Himalayan region of India, the soil erosion has converted most of the fertile soils into barren, fallow and degraded lands. It is estimated that about 40 per cent of the total geographical area of Himachal Pradesh, Uttrakhand and Jammu and Kashmir is highly degraded. Soil loss through erosion is about 3.6 to 80 t ha. The farmers are not aware of rainwater management for storage and ground water recharge. The major constraints identified for conservation and management of water and soil in the area includes lack of technical knowledge and poor economic status of the farmers. Assessment of the area showed that if rainwater is conserved vis-à-vis managed properly and existing technologies are refined for specific land and pedospheric characteristics, it would rehabilitate the degraded lands and in turn increase the productivity in the area. Low cost farm ponds are a better option for collecting rainwater excess during monsoon periods for utilization for irrigation. The most efficient and cheapest way of conserving rainwater at the agricultural farm was found to be in- situ runoff management, which also reduces soil losses and increases the opportunity time for ground water recharging. The earthen embankment for rainwater harvesting has cost benefit ratio of 1.38:1. In addition, good results of harvesting and storage are being achieved in ferro-cement water storage structures of different dimensions of 3 to 5 m deep and 1 to 3 m in diameter. ### Countries mentioned: India ### Topics keywords: degraded land;soil erosion;net return;land degradation ### Geo regions: South Asia ### World bankdivision regions: Middle-income countries($996 to $3,895);IBRD",2011,,Universal Journal of Environmental Research and Technology,,,,,,,#36425,,"",Experimental
