Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
A comprehensive insight into the geography of forest cover in Italy: Exploring the importance of socioeconomic local contexts,"","Abstract: Forest cover is a key attribute of local communities and affects the spatial organization of any given region. Changes in forest cover are influenced by spatially-varying biophysical and anthropogenic factors mainly associated with urban-rural, coastal-inland and elevation gradients. The present study investigates the relationship between the socioeconomic structure of local communities and selected indicators of forest landscape in Italy, including change in forest area over time (2000 - 2012), using an exploratory multivariate analysis based on principal component analysis, hierarchical clustering and discriminant analysis. We assess the importance of socio-spatial structures, economic dynamics and demographic patterns in the geography of forest cover, expansion and loss, considering 149 statistical indicators that are used to evaluate the multiple dimensions of sustainable development. The results point to agriculture, income, education arid labour market indicators as a key predictors of contexts with high forest cover and moderate changes in forest area (both gain and loss) from those with low forest cover and marked changes in forest area. High forest cover in rural districts was spatially associated with local communities featuring depopulation, unemployment, low educational levels and subsistence agriculture. These factors consolidate land abandonment and soil erosion. The highest rate of change in forest area was observed in economically-growing, accessible local contexts with dynamic socio-demographic profiles. Integrated environmental and socioeconomic policies for sustainable development are required to incorporate forest cover and changes in wooded area as pivotal variables and may benefit from a better understanding of the role of local communities in forest management. ### Countries mentioned: Italy ### Topics keywords: soil erosion;natural resource;land degradation;CA;rural community;factor affecting;principal component;land cover;land abandonment;forest cover;large scale;PCA;land use change;rural tourism;protected area;social capital;principal component analysis;spatial distribution;local community;trace element;sustainable development ### Geo regions: Europe and Central Asia ### World bankdivision regions: High-income countries($12,056 or more)",2017,,FOREST POLICY AND ECONOMICS,,,,,https://doi.org/10.1016/j.forpol.2016.11.008,,#37467,,"",""
A way forward on adaptation to climate change in Colombian agriculture: Perspectives towards 2050,"","Abstract: Policy measures regarding adaptation to climate change include efforts to adjust socio-economic and ecologic systems. Colombia has undertaken various measures in terms of climate change mitigation and adaptation since becoming a party of the Kyoto protocol in 2001 and a party of the United Nations Framework Convention on Climate Change (UNFCCC) in 1995. The first national communication to the UNFCCC stated how Colombian agriculture will be severely impacted under different emission scenarios and time frames. The analyses in this document further support that climate change will severely threaten the socioeconomics of Colombian agriculture. We first query national data sources to characterize the agricultural sector. We then use 17 Global Circulation Model (GCM) outputs to quantify how Colombian agricultural production may be affected by climate change, and show the expected changes to years 2040-2069 (""2050"") under the A2 scenario of the Intergovernmental Panel on Climate Change Special Report on Emissions Scenarios (SRES-A2) and the overall trends in both precipitation and temperature to 2100. We then evaluate expected changes within different regions and measure the proportion of area affected within each crop's distributional range. By 2050, climatic change in Colombia will likely impact 3. 5 million people, 14 % of national GDP corresponding to agriculture, employment of 21 % of the population, agro-industries, supply chains, and food and nutritional security. If no adaptation measures are taken, 80 % of crops would be impacted in more than 60 % of their current areas of cultivation, with particularly severe impacts in high value perennial and exportable crops. Impacts also include soil degradation and organic matter losses in the Andes hillsides; likely flooding in the Caribbean and Pacific coasts; niche losses for coffee, fruit, cocoa, and bananas; changes in prevalence of pests and diseases; and increases in the vulnerabilities of non-technically developed smallholders. There is, however, still time to change the current levels of vulnerability if a multidisciplinary focus (i. e., agronomic, economic, and social) in vulnerable sectors is undertaken. Each sub-sector and the Government need to invest in: (1) data collection, (2) detailed, regionally-based impact assessments, (3) research and development, and (4) extension and technology transfer. Support to vulnerable smallholders should be given by the state in the form of agricultural insurance systems contextualized under the phenomenon of climate change. A national coordination scheme led by (but not restricted to) the Ministry of Agriculture and Rural Development (MADR) with the contributions of national and international institutions is needed to address agricultural adaptation. ### Countries mentioned: Colombia;Japan ### Plant products search: bananas ### Topics keywords: EC;GDP;IPCC;GHG emission;N2O;SC;united nation;DM;adaptation measure;climate change mitigation;adaptation climate change;soil organic carbon;ministry agriculture;climatic change;rural development;FAO;organic matter;cover crop;climate change;OM;supply chain;factor influencing;gross domestic product;CC ### Geo regions: Latin America and the Caribbean;East Asia and Pacific ### World bankdivision regions: Upper-middle-income countries ($3,896 to $12,055);High-income countries($12,056 or more);IBRD",2012,,Climatic Change,,,,,https://doi.org/10.1007/s10584-012-0500-y,,#37110,,"",""
A way forward on adaptation to climate change in Colombian agriculture: perspectives towards 2050 [electronic resource].,"","Abstract: Policy measures regarding adaptation to climate change include efforts to adjust socio-economic and ecologic systems. Colombia has undertaken various measures in terms of climate change mitigation and adaptation since becoming a party of the Kyoto protocol in 2001 and a party of the United Nations Framework Convention on Climate Change (UNFCCC) in 1995. The first national communication to the UNFCCC stated how Colombian agriculture will be severely impacted under different emission scenarios and time frames. The analyses in this document further support that climate change will severely threaten the socioeconomics of Colombian agriculture. We first query national data sources to characterize the agricultural sector. We then use 17 Global Circulation Model (GCM) outputs to quantify how Colombian agricultural production may be affected by climate change, and show the expected changes to years 2040–2069 (“2050”) under the A2 scenario of the Intergovernmental Panel on Climate Change Special Report on Emissions Scenarios (SRES-A2) and the overall trends in both precipitation and temperature to 2100. We then evaluate expected changes within different regions and measure the proportion of area affected within each crop’s distributional range. By 2050, climatic change in Colombia will likely impact 3.5 million people, 14℗ % of national GDP corresponding to agriculture, employment of 21℗ % of the population, agro-industries, supply chains, and food and nutritional security. If no adaptation measures are taken, 80℗ % of crops would be impacted in more than 60℗ % of their current areas of cultivation, with particularly severe impacts in high value perennial and exportable crops. Impacts also include soil degradation and organic matter losses in the Andes hillsides; likely flooding in the Caribbean and Pacific coasts; niche losses for coffee, fruit, cocoa, and bananas; changes in prevalence of pests and diseases; and increases in the vulnerabilities of non-technically developed smallholders. There is, however, still time to change the current levels of vulnerability if a multidisciplinary focus (i.e., agronomic, economic, and social) in vulnerable sectors is undertaken. Each sub-sector and the Government need to invest in: (1) data collection, (2) detailed, regionally-based impact assessments, (3) research and development, and (4) extension and technology transfer. Support to vulnerable smallholders should be given by the state in the form of agricultural insurance systems contextualized under the phenomenon of climate change. A national coordination scheme led by (but not restricted to) the Ministry of Agriculture and Rural Development (MADR) with the contributions of national and international institutions is needed to address agricultural adaptation. ### Countries mentioned: Colombia;Japan ### Plant products search: grain legumes;bananas ### Topics keywords: EC;GDP;IPCC;GHG emission;N2O;SC;united nation;DM;adaptation measure;climate change mitigation;adaptation climate change;soil organic carbon;ministry agriculture;climatic change;rural development;FAO;organic matter;cover crop;climate change;OM;supply chain;factor influencing;gross domestic product;CC ### Geo regions: Latin America and the Caribbean;East Asia and Pacific ### World bankdivision regions: Upper-middle-income countries ($3,896 to $12,055);High-income countries($12,056 or more);IBRD",2012,,Climatic change,,,,,https://proxy.lib.ohio-state.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=agr&AN=IND500644432&site=ehost-live,,#36527,,"",""
An example of small farm response to the crisis in the traditional agricultural sector.,"","Abstract: The crisis of traditional agriculture in Spain is frequently stated to be the result of migration and the disparities between agricultural supply and demand which affect the large estates and small farmers in different ways. The common prescription for the crisis includes such measures as reform of inefficient structures, increased productivity and reorientation of supply. However such measures will not stop migration unless they are accompanied by an improvement in communal infrastructure. An area of typical peasant ('minifundio') farming in the province of Segovia has been surveyed to see how well it has achieved these aims. Data for consolidation of landholding, size of farms, irrigation, level of mechanization, products, and livestock numbers are provided for dates over the period 1964-1978. Also provided are some figures to indicate standards of living in the area (installation of central heating, hot water, bathrooms, etc. in homes). The results of the survey suggest that the development prescription has worked in the area studied: not only has the structure of farming changed but also higher value products are being produced and the value added of agricultural products is being increased by processing and marketing. ### Countries mentioned: Spain ### Plant products search: stone fruits ### Topics keywords: value added;agro food;value chain;factor influencing ### Geo regions: Europe and Central Asia ### World bankdivision regions: High-income countries($12,056 or more)",1980,,Agricultura y Sociedad,,,,,,,#36264,,"",""
Annual Review and determination of guarantees 1968 in the UK.,"","Abstract: The Government's selective expansion programme provided that the Annual Review machinery be used both for surveying progress towards the expansion objectives of the industry and also for assessing the financial and physical resources required. The cost increases are estimated for a full year at £681/2 million on Review commodities, but not all this sum has had to be borne in the current year. With such cost increases, the minimum statutory award permitted as a result of this year's Annual Review would amount to about £27 million. Actual farming net income in the farm year June 1967-May 1968 is forecast to be £510 million, an increase of £181/2 million over the figure of £491 1/2 million now estimated for 1966/67. This in turn was an increase of £28 million over the figure for 1965/66. Details are included on the production grants arrangements for: field beans; fertilizer and lime subsidies; a market development scheme; the small farm/business management scheme; and field drainage and farm water supply grants. D. K. B. ### Countries mentioned: United Kingdom ### Plant products search: field bean;grain legumes;citrus fruits ### Programs found: expansion program;selective expansion program ### Topics keywords: net income;rural household;economic benefit;net return ### Geo regions: Europe and Central Asia ### World bankdivision regions: High-income countries($12,056 or more)",1968,,Annual Review and determination of guarantees 1968 in the UK.,,,,,,,#37556,,"",""
Assessing soil quality in areas affected by sulfide mining. Application to soils in the Iberian Pyrite Belt (SW Spain),"","Abstract: The characterization, evaluation and remediation of polluted soils is one of the present environmental challenges to be addressed in the coming years. The origin of trace elements in soils can be either geogenic or anthropogenic, but only the latter is interesting from a legal point of view. The hazard of the pollutants in the soils not only depends on their total concentration, but particularly on their availability. The mobility of the trace elements depends on their speciation, and it is also affected by several soil parameters. Mining activity is one of the most important anthropogenic causes of soil pollution. As a case study, this work is focused in the Riotinto mining area (Iberian Pyrite Belt, IPB, SW Spain). The IPB is one of the most important metallogenic provinces in the world and it has been exploited for thousands of years. The disposal of mining residues has produced important sources of contamination by trace elements and acidic waters affecting soils and rivers. In addition to these problems, the closure of mines in the Pyrite Belt at the end of the 20th Century has led to a great loss of employment, which has caused the development of an intensive agriculture of citrus fruits as a new source of income. The intensive growing of citrus fruits and the traditional subsistence agriculture have been developed surrounding the mining areas and on floodplains near to mining sites. The level of soil pollution has not been taken into account in these cases, nor has its impact on the health of the inhabitants of these areas. Therefore, it is of great interest to study the current state of the cultivated soils and the sources and types of contaminants derived from mining activity in order to program its decontamination, where appropriate, according to legislation. In order to know the present and future hazard posed by the soils chemical and mineralogical speciation has been carried out, given that the availability of a metal depends on the phase in which it is found. The results showed that mining activity has caused high levels of As, Cu, Pb and Zn in several cultivated soils. Moreover, Cu, Pb and Zn showed a high bioavailability. This suggests that at least other studies are necessary to preserve health in the inhabitants of this area. The methodology carried out in this work allowed to select potentially polluted areas where agricultural activities are not recommended. ### Countries mentioned: Spain ### Plant products search: citrus fruits ### Topics keywords: plant height;trace element;take account;winter wheat;TE;point view;taking account;taken account;seed weight;spring wheat;technical efficiency ### Geo regions: Europe and Central Asia ### World bankdivision regions: High-income countries($12,056 or more)",2011,,Minerals,,,,,https://doi.org/10.3390/min1010073,,#37276,,"",""
Beneficial impacts of climate change on pastoral and broadacre agriculture in cool-temperate Tasmania.,"","Abstract: Although geographically small, Tasmania has a diverse range of regional climates that are affected by different synoptic influences. Consequently, changes in climate variables and climate-change impacts will likely vary in different regions of the state. This study aims to quantify the regional effects of projected climate change on the productivity of rainfed pastoral and wheat crop systems at five sites across Tasmania. Projected climate data for each site were obtained from the Climate Futures for Tasmania project (CFT). Six General Circulation Models were dynamically downscaled to ∼10-km grid cells using the CSIRO Conformal Cubic Atmospheric Model under the A2 emissions scenario for the period 1961-2100. Mean daily maximum and minimum temperatures at each site are projected to increase from a baseline period (1981-2010) to 2085 (2071-2100) by 2.3-2.7°C. Mean annual rainfall is projected to increase slightly at all sites. Impacts on pasture and wheat production were simulated for each site using the projected CFT climate data. Mean annual pasture yields are projected to increase from the baseline to 2085 largely due to an increase in spring pasture growth. However, summer growth of temperate pasture species may become limited by 2085 due to greater soil moisture deficits. Wheat yields are also projected to increase, particularly at sites presently temperature-limited. This study suggests that increased temperatures and elevated atmospheric CO concentrations are likely to increase regional rainfed pasture and wheat production in the absence of any significant changes in rainfall patterns. ### Countries mentioned: Australia ### Plant products search: wheat ### Programs found: effect project;annual rainfall (AR) project;tasmania project ### Topics keywords: cover crop;climate change;CO;soil moisture;SM;CO2;CC ### Geo regions: East Asia and Pacific ### World bankdivision regions: High-income countries($12,056 or more)",2014,,Pasture Science;Crop &amp,,,,,,,#36971,,"",""
"Building partnerships: promoting water quality, biodiversity, and supporting farming in the north-west of England.","","Abstract: Water is generally plentiful in the United Kingdom; however, there is an emerging water quality issue driven by agricultural intensification. Poor land management over generations has contributed to the degradation of upland peat deposits leading to discolouration of potable water and the loss of valuable habitats. Employing agri-environmental schemes operated by the UK Government and private Capital One water company in the North West of England is achieving water quality gains as well as landscape, conservation and habitat benefit at the same time as supporting tenant farm incomes. We describe the pressures on the uplands and how innovative partnerships are achieving sustainable change. ### Countries mentioned: United Kingdom ### Topics keywords: land use change;agricultural intensification;specie richness;RO ### Geo regions: Europe and Central Asia ### World bankdivision regions: High-income countries($12,056 or more)",2017,,Case Studies in the Environment,,,,,https://doi.org/10.1525/cse.2017.sc.449002,,#36775,,"",""
Canadian animal agriculture faces great change in future.,"","Abstract: Livestock production plays an important role in Canadian agriculture, accounting for about half the value of all Canadian agricultural production. The sector is likely to face great change in the future: the outcome of the current GATT negotiations is likely to have a significant direct effect on the dairy and poultry industries, and related effects on the other livestock industries. Animal welfare and animal rights groups are exerting pressure on intensive livestock industries such as poultry and pigs. Environmental concerns are emerging due to the traditional methods of disposing of farm waste. Issues range from surface and groundwater pollution and public health hazards to environmental degradation and quality of life concerns. Canada has gone through a major restructuring and is potentially able to meet competitive forces by having economic units as family farms. ### Countries mentioned: Canada ### Animal products search: poultry meat ### Topics keywords: animal welfare;play important role;human health;food safety;rural community;risk assessment;public health;CI;animal health ### Geo regions: North America ### World bankdivision regions: High-income countries($12,056 or more)",1993,,Feedstuffs,,,,,,,#36990,,"",""
"Conservation for the long-haul: Protecting cultural and natural resources through financial, legal, and programmatic strategies","","Abstract: Historic Herff Farm in Boerne, Texas is an iconic Texas Hill Country landscape that has been carefully restored by the Cibolo Nature Center and Farm and is now being transformed into a center for sustainable living. In 2016, the farm was recognized with a Preservation Texas Honor Award, and the homestead is listed on the National Register of Historic Places. A new Texas Historical Commission marker celebrates the life of the farm’s namesake, Dr. Ferdinand Ludwig von Herff, a prominent San Antonio physician who emigrated from Germany in the mid-1800s. Taking cues from its past, Herff Farm is a destination that currently hosts a weekly farmers market, “Farm Classroom” for schoolchildren in the area, with demonstrations showcasing best practices for water conservation, renewable energy and small-scale agricultural production. This paper highlights financial, legal and programmatic strategies that have been utilized to conserve the property in perpetuity. The Texas Historic Preservation Tax Credit was established by the Texas Legislature in 2015 for certified rehabilitation work on historically-designated properties and equals 25% of eligible costs and expenses. This is a valuable financial tool for owners and investors who wish to rehabilitate cultural treasures to the Standards of Rehabilitation of the Secretary of the Interior. The property has also been placed under a voluntary conservation easement, a legal agreement between the landowner and a land trust that limits the owner’s development rights in order to maintain its natural and cultural features. Finally, building public support by providing access, services and programs helps ensure a culture of stewardship and sense of ownership by the greater community. These strategies could be employed by conservation-minded landowners with limited resources who seek to preserve cultural and natural resources. ### Countries mentioned: Germany;United States ### Programs found: service program ### Topics keywords: small scale;natural resource;sustainable development;energy consumption;renewable energy;biogas production ### Geo regions: Europe and Central Asia;North America ### World bankdivision regions: High-income countries($12,056 or more)",2017,,WIT Transactions on Ecology and the Environment,,,,,https://doi.org/10.2495/SDP170361,,#36544,,"",""
Cultivable land worldwide not in cultivation: Sufficient land available for humanity's sustainable food security? [Les terres cultivables non cultivées dans le monde des disponibilités suffisantes pour la sécurité alimentaire durable de l'humanité?],"","Abstract: At the request of the French ministry of Food, Agriculture and Fisheries, a study was carried out in 2009 by Laurence Roudart on the current and future availability of cultivable land. The three databases she analysed indicates that the land area utilisable for rainfed cultivation (without need of irrigation) that is not yet being farmed is, globally, very extensive - particularly in South America and Sub-Saharan Africa. On the other hand, this particular resource seems to be scarce or even to have been exhausted in the Middle East and Asia. Global warming would probably lead to a - small - increase in cultivable land, but would reduce the cultivable areas available in developing countries, particularly in South and South-East Asia, where such land is already a scarce resource. The world's cultivable areas seem greatly to exceed what is necessary to guarantee humanity's food security. This conclusion remains true even if we assume relatively low growth In agricultural yields along the lines of a ""sustainable, doubly green revolution"" and exclude from cultivation all the currently protected zones and the forests. It is true even if we take into account the plausible effects of global warming. However, the sustainable exploitation of cultivable land resources requires appropriate public policies on agricultural prices, on access to land, and on research-and-development targeted at the needs and potential of poor producers. ### Countries mentioned: France ### Topics keywords: take account;GHG emission;developing country;public policy;chemical fertilizer;SSA;environmental impact;point view;taking account;taken account;sustainable agriculture;LCA;CO2;FAO;family farming;food security;climate change;green revolution;smallholder farmer;global warming ### Geo regions: Europe and Central Asia;East Asia and Pacific;Middle East and North Africa;Sub-Saharan Africa ### World bankdivision regions: High-income countries($12,056 or more)",2011,,Futuribles: Analyse et Prospective,,,,,,,#36723,,"",""
Developing efficient beef production in Ireland.,"","Abstract: Cattle production for beef is a feature of the great majority of Irish farms, but farms solely or mainly devoted to cattle production are predominantly small, with 79% under 50 acres, and many are operated as part-time units. In order to be viable, a purely drystock farm, under average management and intensity of production, needs to be a minimum of 85 adjusted acres or 65 acres with drystock and tillage. However, with intensive production accompanied by good management the acreage threshold of viability can be lower. Smaller sized units would need to incorporate a high income generating enterprise such as dairying in order to become viable. However, cattle production has a greater potential for expansion of numbers than dairying. The levels of income being generated in cattle production are extremely variable but generally low. Low returns per animal unit makes loan repayment more difficult. Low margins from cattle production are due primarily to poor standards of animal performance and low stocking rates. This low physical performance is influenced not only by the general standards of grassland management, the inadequacy of winter feed and animal accommodation, but also by a lack of management information. Performance standards and wintering accommodation should be improved. Improvement in efficiency of cattle production will lead to an increasing requirement for calves, which could be forthcoming from existing dairy herds. The development of multiple suckling should be considered, especially for the many smaller farms unlikely to go into dairying. Development should be largely geared to improvement and intensification of existing systems. Development of integrated calf-to-beef systems should also be encouraged, because it can provide a reasonable income through a good technical management. Finally, small cattle units are important, both in terms of numbers and of land use and are likely to be a long-term feature of the Irish farming economy. They have generally not adopted silage making. The establishment of grassland management and conservation systems which will help them to develop their cattle production systems and make them more efficient is worthy of special consideration. ### Countries mentioned: Ireland ### Animal products search: beef ### Topics keywords: stocking rate;dairy cow;land use;dairy industry;dairy farm;dairy herd;dairy cattle;beef cattle;long term ### Geo regions: Europe and Central Asia ### World bankdivision regions: High-income countries($12,056 or more)",1978,,"Conference. The cattle and sheep industry - changing structure and development potential, November 29, 1978, Burlington Hotel, Dublin.",,,,,,,#36633,,"",""
Drainage maintenance and reconstruction costs and benefits: a watershed analysis.,"","Abstract: Currently there is an absence of applied economic analysis relevant to policy decisions on public drainage maintenance and reconstruction investment. The research problem involves the identification and application of economic criteria to the drainage process in the Interlake area of Manitoiba. The shortcomings of resource modification.decisions based on single use concepts and the need for including pervasive drainage effects on the economy are outlined. A regression model, utilizing the important variables involved in drainage reclamation, accounts for the major portion of the variation in benefits among farms. Although a cost-benefit figure of 1: 6 is estimated, its interpretation is consitrained by the particular economic relationship investigated, the partial nature of the analysis and the desirability of the distribution of drainage benefits. Drainage is a means of distributing income to low income farmers even though large farms receive the greatest share of benefits. A. ### Countries mentioned: Canada ### Topics keywords: factor influencing;factor affecting;NDVI ### Geo regions: North America ### World bankdivision regions: High-income countries($12,056 or more)",1971,,Canadian Journal of Agricultural Economics,,,,,,,#36500,,"",""
East Kent Regional Planning Scheme. Preliminary Survey Prepared for the Joint Town Planning Committee of Local Authorities.,"","Abstract: i. Despite Professor Abercrombie's wide experience in the preparation of regional reports, he must have felt that the adequate presentation of the problems of East Kent would tax his abilities to their utmost. Realizing the magnitude of his task the author has secured the collaboration of a number of distinguished men whose special experience or local knowledge has added much to the value of the report. The opening section deals with the topography and geology of the district, which may be roughly defined as that part of Kent lying east of a line drawn from Whitstable to Sandgate. The importance of these aspects need hardly be emphasized in view of the fact that the anticipated development of the coal-field is the main reason for the preparation of the report. Plans and a good sectional diagram give a very clear impression of the geological formation with its coal-field shaped like the point of a spoon, its edges striking the coast line at Richborough and Shakespeare's Cliff and its point lying a few miles to the north-east of Canterbury. After this outline the report reviews (II) the agriculture and vegetation of the district; (III) its archaeological features; (IV) administrative divisions; (V) population, health, and housing, returning in section (VI) to the industrial survey, which is mainly devoted to the coal-field, though the ironstone beds towards Folkestone and other economic minerals come into account. The coal is found in a number of seams of high grade steam coal, in the case of many borings exceeding a total thickness of 40 feet in seams of over 2 feet. The coal is deep down, workable seams ranging from 1, 250 to 2, 800 feet in depth according to the locality, as the chalk formation averages some 1, 000 feet, and underlying this there are older beds varying greatly in thickness. The depth dictates one condition that may be regarded as advantageous, namely, that the pit heads will probably be some four miles apart and the country less wrecked in consequence. If the proposition is realized that the coal should be employed to produce electric power at the pit heads, there will be a further gain towards the preservation of the amenities of the district. That this is of the gravest importance, even from the economic standpoint alone, will be realized when we find that the sea coast towns which would be more or less affected by any untoward development have a rateable value of £1, 313, 162, which, capitalized at 20 years' purchase, gives a total of £26, 263, 240, while the assumed value of eighteen pits in full working does not exceed a capitalized rateable value of £2, 816, 400. As the report says: ""The coastal towns that encircle East Kent are at present its most considerable commercial asset. From Whitstable to Folkestone and Sandgate they form a series of seaside resorts of varied character which it would be difficult to surpass anywhere in these islands. It is therefore exceedingly important that nothing be allowed to destroy their value in the eyes of the Londoner, for whom, of course, they primarily exist. It would indeed be poor policy from the point of view of the ratepayers of East Kent if the increase in rateable value of coal area in the rural districts were counter-balanced by a decrease in the sea-coast towns. ""But without some say in the regional ordering of these about-to-be-industrialized rural districts, these towns would be at the mercy of influences beyond their control; if the industrial growth were of the old-fashioned, smoke-producing, country-destroying sort they would find one of their real attractions-the rural charabanc trips-gone; and even if the worst deformities of industrialism were avoided, they would not be secure without a regional plan, which promoted their interests as well as those of the coalfield. ""There is really no antagonism: forethought and care in zoning, road planning and the preservation of certain natural features are all that are required. These special features of the Regional Scheme should not interfere in any way with the development of the coalfield which, in fact, will in every way be advantaged by systematic planning."" In view of the importance of this comparison it has been brought forward from its position in the report where it is preceded by studies of (VII) communications; (VIII) open spaces; and (IX) Canterbury, Sandwich, and the old villages. This last section, as may be imagined, lends itself to illustration, and some attractive views are included both in this and in the following section on Seaside resorts. The second part of the report deals in outline with the probabilities for the future, including the general zoning of the area, seaport developments arid the distribution of population, the estimate being for a probable doubling of this. Here the proposal takes the form of some seven or eight subsidiary towns appropriately placed with respect to the coal industries and looking towards Canterbury as a cultural centre and towards the coast resorts for recreation. For these towns the density laid down is 12 houses to the acre: as they would be purely residential this is considered to be adequate. Other matters which come under review include improvements in road and rail communications, selection of open spaces, the methods of coal working with a view to eliminating smoke, water supply and drainage, electric power, small holdings, social and educational considerations, with a special claim for the establishment of a University at Canterbury, and methods of realization and administration. H. V. Lanchester. ### Countries mentioned: United States;United Kingdom;New Zealand ### Topics keywords: remote sensing;VII;VI;point view;NDVI;vegetation index ### Geo regions: East Asia and Pacific;Europe and Central Asia;North America ### World bankdivision regions: High-income countries($12,056 or more)",1925,,Journal of the Town Planning Institute,,,,,,,#36355,,"",""
Economic analysis of precision farming technologies at the farm level: Two german case studies,"","Abstract: The aim of this chapter is to evaluate the economic whole farm impact of the implementation of precision-farming technologies. Therefore, two farms were analyzed, which had implemented different precision agriculture technologies several years ago. The farms can be regarded as early adopters of precision agriculture technologies in two very different agricultural production areas. One of the two analyzed farms (1560 ha) is located in East Germany (Saxony-Anhalt), in a region with low annual rainfall and high fertile soils. In this farm nitrogen and potassium fertilizer applications, fungicides applications, and seeding are managed site-specifically following a mapping-approach, based on yield maps and aerial photographs. The other farm (150 ha) is located in Bavaria, in a region with high annual rainfall and comparatively fertile soils. In this farm the Yara-N-Sensor® is used for site-specific nitrogen management. The economic analysis is based on economic efficiency calculations for the implemented technologies, e.g., break-even-analysis and profit estimations. Furthermore, the two farmers were interviewed about the impact on their farm management and organization. The implementation of the technologies provided economic gains for both of the farms. While the implementation of the sensor-based technology had only moderate effects on the overall farm management, the implementation of the mapping based system resulted in a far-reaching reorganization of the farm.We conclude that a sensor-approach is easier to implement than a mapping approach. The implementation of a mapping-based site-specific management approach requires more skills, e.g., for analyzing site-specific data or creating application maps. Positive returns on the investments in the fertilizer technology can only be achieved when the technologies are used on sufficient acreage. This is easier to realize on big farms in eastern Germany or in terms of a collaborative use of the technologies than on comparatively small farms in southern Germany. However, in both regions we didn't find evidence that the innovation is adopted by neighboring farmers, which indicates that there are still considerable adoption constraints that limit the diffusion of precision farming technologies in Germany. ### Countries mentioned: Germany ### Topics keywords: site specific;NH4;NO3;precision farming;management practice;precision agriculture ### Geo regions: Europe and Central Asia ### World bankdivision regions: High-income countries($12,056 or more)",2008,,"Agricultural Systems: Economics, Technology, and Diversity",,,,,,,#36506,,"",""
Farmers' suicides in Maharashtra.,"","Abstract: An agrarian crisis has precipitated a spate of suicides in Maharashtra, India. The suicide mortality rate for farmers in the state has increased from 15 in 1995 to 57 in 2004. The rain-dependent cotton growing farmers of Vidarbha are faced with declining profitability because of dumping in the global market by the USA, low import tariffs, failure of the Monopoly Cotton Procurement Scheme and withdrawal of the state (resulting in declining public investment in agriculture, poor government agriculture extension services and the diminishing role of formal credit institutions). The farmer now depends on the input dealer for advice, leading to supplier-induced demand, and on informal sources of credit, which result in a greater interest burden. In short, the farmer is faced with yield, price, credit, income and weather uncertainties. It is argued that the way out is to merge bold public policy initiatives with civil society engagement. ### Countries mentioned: India;United States ### Plant products search: cotton ### Programs found: policy initiative;public policy initiative ### Topics keywords: contract farming;public policy;family farming;extension service ### Geo regions: South Asia;North America ### World bankdivision regions: High-income countries($12,056 or more);Middle-income countries($996 to $3,895);IBRD",2006,,Economic and Political Weekly,,,,,,,#37415,,"",""
Fish farming of Pangasiids.,"","Abstract: For the last 15 years South East Asian fish farming of Pangasiids has shown dramatic growth and expansion. A main contributor in this field, Vietnam is the perfect example of a country having displayed a dynamics combining technical improvement derived from development oriented research, adaptability of culture systems and targeting of international markets. In Indonesia, following the example of Vietnam, fish farming of pangas catfish is developing too since a few years for both domestic and international markets. Fish farming of ""pangas"" is a traditional activity in Vietnam. In order to allow fish farmers not to depend on wild fry in stocking their ponds and cages, a collaborative scientific programme between France and Vietnam was set up in 1995 aimed at mastering artificial propagation of the two main cultured species, (cultured in cages) and (cultured in manured ponds). Successfully achieved in 1995, the artificial propagation of pangas led to deep changes in the panga chain. , grown in cages and the main species for export, displayed difficult sexual maturation in captivity and relatively low fecundity. The other species, , showed easy maturation in captivity and a 10 times higher fecundity. Under these conditions, has become the main culture species. At the same time, the trend evolved towards an increasing use of industrial feed due to the increasing price of trash fish used for on-farm feed manufacturing. Production costs come to 0.6-0.7 US$/kg (0,4-0,47 euro/kg). In Indonesia, fish farming of pangas really started in the nineties. It is based upon one exotic introduced species, , and an indigenous one, , cultured both in ponds and in cages, in lakes and in rivers, within mostly small scale family farms on Java, Sumatra and Borneo Islands. Vietnam's panga production is estimated at 800,000 mt for 2006 and 1 M mt for 2007, mainly exported. In Indonesia, production for 2006 is estimated at 31,000 mt. ### Countries mentioned: Viet Nam;France;Indonesia ### Animal products search: fish ### Programs found: scientific program;collaborative scientific program ### Topics keywords: small scale;agro food;value chain;international market ### Geo regions: East Asia and Pacific;Europe and Central Asia ### World bankdivision regions: High-income countries($12,056 or more);Middle-income countries($996 to $3,895);IBRD",2009,,Cahiers Agricultures,,,,,,,#36884,,"",""
